# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: NACA0015_Airfoil
# Creation date: 12/23/2024 14:39:11
# 
# 12/23/2024 14:39:11
# The parameters defined in the project are:
# ,P1 - AoA [degree],P2 - Inlet_Velocity [m s^-1],P3 - Lift [N],P4 - Drag [N],P5 - Lift Coefficient [kg m^-1]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5
# 12/23/2024 21:26:58
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - AoA [degree],P2 - Inlet_Velocity [m s^-1],P3 - Lift [N],P4 - Drag [N],P5 - Lift Coefficient [kg m^-1],P6 - lift_coefficient-op
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6
DP 0,9,4.68,2.85904,0.0924598,0.21311912887004461,0.8524777
DP 0,0,4.68,-0.00149891,0.0479198,-0.00011173204762948353,-0.00044692525
DP 1,1,4.68,0.344408,0.0486445,0.02567292970223373,0.10269184
DP 2,2,4.68,0.666071,0.0493792,0.049650397086294519,0.19860173
DP 3,3,4.68,1.02805,0.0521569,0.0766331077686389,0.30653314
DP 4,4,4.68,1.34824,0.0556211,0.10050077449344849,0.40200346
DP 5,5,4.68,1.67355,0.0593777,0.12475009727756982,0.4989992
DP 6,6,4.68,1.99819,0.0653736,0.14894947678830461,0.59579765
DP 7,7,4.68,2.29941,0.073062,0.1714030779964846,0.68561214
DP 8,8,4.68,2.57968,0.0820423,0.192295020133848,0.76918173
DP 9,9,4.68,2.85905,0.0924597,0.21311987429203547,0.85247852
DP 10,10,4.68,3.08721,0.106937,0.23012742243511472,0.92050999
DP 11,11,4.68,3.32691,0.124288,0.24799518755562711,0.99198031
DP 12,12,4.68,3.55345,0.14343,0.26488197733618979,1.0595297
DP 13,13,4.68,3.64347,0.172532,0.2715922660977606,1.0863685
DP 14,14,4.68,3.8037,0.19108,0.28353616265704179,1.1341462
DP 15,15,4.68,3.8035,0.23217,0.28352125421722491,1.1340845
DP 16,16,4.68,3.76381,0.280362,0.28056267433556809,1.1222509
DP 17,17,4.68,3.68624,0.332466,0.27478043595259716,1.0991236
DP 18,18,4.68,3.26473,0.405862,0.24336015361656388,0.97343981
DP 19,19,4.68,3.08703,0.476089,0.23011400483927957,0.92045594
DP 20,20,4.68,2.90653,0.543583,0.21665913790455915,0.86663754
DP 21,21,4.68,2.62868,0.630926,0.19594758788897984,0.78379214
DP 22,22,4.68,2.62576,0.687103,0.19572992466765363,0.7829198
DP 23,23,4.68,2.42004,0.782973,0.18039510347202656,0.72158028
# 
# A non parametric change occurred and invalidated design point results.
# 12/23/2024 22:54:57
# 
